probIn scale
0.07896588 0.01792267
0.06178818 0.01706042
0.04776525 0.01757578
0.03636581 0.01781747
0.04752696 0.01719839
0.02842732 0.01637039
0.03538082 0.01611885
0.06146001 0.01532803
0.0802793 0.01598453
0.07709987 0.016779
0.06585335 0.01682408
0.07155354 0.01664811
0.04237053 0.01659149
0.05498854 0.01608081
0.04766975 0.01630594
0.04860134 0.0177633
0.05169336 0.01702871
0.0503365 0.01885417
0.03029875 0.01885912
0.04527033 0.01735724
0.05237878 0.01736148
0.04460846 0.01815657
0.05389893 0.01806845
0.0472062 0.01820678
0.04936992 0.01684165
0.04358235 0.01748275
0.03929917 0.01773036
0.05046144 0.01883546
0.04451914 0.01992964
0.04243388 0.02005328
0.05584355 0.02035131
0.03871306 0.02037744
0.04572733 0.0213721
0.0642108 0.02061923
0.04558252 0.01938394
0.04367525 0.0216103
0.04450543 0.02064016
0.03642523 0.0191617
0.0312737 0.02166608
0.0378187 0.02204571
0.03874973 0.02182022
0.06042601 0.02165152
0.05927265 0.02093322
0.04564129 0.02170502
0.05019562 0.0227167
0.07060044 0.02201163
0.06370393 0.02118564
0.03795023 0.02233737
0.04863868 0.02217015
0.06323433 0.02178644
0.07246909 0.02283235
0.07597775 0.02305997
0.05935664 0.02282313
0.06378274 0.02308787
0.0724641 0.02128222
0.08171009 0.02191584
0.0628398 0.02217481
0.0584099 0.02134642
0.05786227 0.02130543
0.0567384 0.02155954
0.06917007 0.02219326
0.09112423 0.02045707
0.09674765 0.02057364
0.08748726 0.01943549
0.1171188 0.01874084
0.09629019 0.01893216
0.09808365 0.01902451
0.09341486 0.01930019
0.1015656 0.01834455
0.0943252 0.01796348
0.09345125 0.01846746
0.1255287 0.01742614
0.1027535 0.01760084
0.08315669 0.01864263
0.101363 0.01849195
0.1108682 0.01766676
0.1239462 0.01729349
0.1288923 0.01854903
0.09691045 0.01773135
0.1043617 0.01810013
0.08706209 0.01830846
0.08256018 0.01876223
0.07488463 0.01854427
0.07830713 0.01983519
0.06729751 0.02003601
0.05031859 0.01917279
0.02020346 0.01914424
0.02876914 0.01914951
0.04229433 0.02069502
0.06688728 0.02100308
0.04855517 0.02021247
0.05752963 0.02184958
0.04817999 0.0234724
0.01966402 0.02272661
0.03507747 0.0223103
0.05803095 0.02343505
0.04071771 0.02275588
0.03747724 0.02370567
0.05759979 0.02348876
0.05360311 0.0232247
0.0396461 0.02348726
0.05172221 0.02300671
0.04261518 0.02369836
0.04540102 0.02169959
0.04235619 0.02091647
0.0412055 0.02217178
0.05828042 0.02192607
0.06724986 0.02158854
0.05391287 0.02261328
0.06041466 0.02221293
0.06441904 0.02282872
0.0745018 0.02379735
0.0671706 0.02334856
0.05208088 0.02247639
0.05040372 0.02344979
0.06542705 0.02368405
0.05803095 0.02368045
0.03655654 0.02310733
0.05836299 0.02258958
0.04625514 0.02169149
0.04680715 0.02104677
0.04853199 0.02362135
0.03806641 0.02465299
0.04266584 0.02394221
0.0284408 0.02362007
0.0302971 0.02384227
0.04186274 0.02529643
0.03671906 0.02574692
0.03787449 0.02646287
0.03464965 0.02712029
0.03664974 0.02727147
0.04760667 0.02599419
0.05097674 0.02553823
0.04491705 0.02583105
0.03950173 0.02635145
0.0577536 0.02685127
0.04947524 0.02833655
0.04198468 0.02967991
0.04060591 0.02931143
0.05128656 0.02710171
0.05863467 0.02809465
0.048726 0.02819658
0.03763434 0.02771798
0.05046623 0.02609501
0.03789274 0.02772019
0.03902565 0.0291108
0.05480485 0.0278965
0.04798578 0.02624672
0.03845723 0.0253943
0.0755852 0.0245953
0.06678969 0.02237092
0.07724645 0.02264927
0.07115984 0.02233103
0.06794012 0.02085607
0.06572286 0.02140662
0.07204511 0.0218128
0.0824846 0.02181205
0.05160308 0.02205788
0.04777361 0.02297118
0.05120397 0.02166793
0.06086019 0.02279919
0.03730767 0.02104337
0.03235304 0.02240175
0.04551412 0.02156565
0.06578997 0.02192998
0.03466065 0.0210627
0.02486362 0.02157853
0.05067418 0.02207081
0.06188635 0.02243064
0.03991697 0.02254136
0.0427458 0.02271858
0.02676324 0.02246683
0.01809663 0.02230481
0.03227616 0.02124813
0.02925388 0.0208139
0.0221827 0.02114527
0.02798744 0.02086778
0.03682213 0.02055737
0.02915718 0.02103103
0.04722322 0.02182086
0.0480209 0.02123271
0.05769502 0.02251662
0.05071038 0.0229429
0.06631255 0.02161785
0.06310143 0.02010127
0.0743409 0.01916106
0.05931198 0.01743136
0.07739215 0.0174381
0.07727724 0.01693532
0.08795621 0.0176283
0.09757408 0.01837051
0.1004258 0.01863481
0.1152522 0.01856367
0.1035821 0.01897299
0.07459264 0.01834545
0.05559326 0.01851406
0.04843965 0.01846082
0.05080749 0.01819132
0.04970776 0.01963862
0.05021973 0.01989094
0.06419838 0.01988774
0.04035826 0.01947639
0.04150539 0.01871151
0.05196406 0.02020229
0.06675019 0.02070022
0.08949479 0.02163929
0.06718347 0.02279971
0.05867564 0.02272186
0.05423476 0.0240886
0.04130735 0.02359697
0.04525539 0.02285481
0.03842604 0.02402404
0.04302325 0.02558166
0.03393604 0.02734194
0.01974537 0.02783301
0.02866096 0.02760419
0.02939104 0.02754532
0.02158406 0.02896196
0.01554738 0.02939925
0.02046007 0.02987329
0.01539288 0.02834116
0.01066547 0.02965791
0.03238967 0.03229284
0.02915433 0.03187175
0.01743562 0.03143751
0.03039349 0.03273766
0.02051724 0.03039776
0.03357119 0.02940774
0.03569033 0.03256134
0.02322445 0.02998192
0.01520263 0.03142084
0.04262052 0.02918811
0.04990295 0.0297774
0.05879438 0.02967265
0.04665529 0.02956428
0.04852763 0.03015668
0.06267561 0.0308158
0.05479609 0.02929327
0.03787213 0.02775536
0.03294296 0.02706608
0.03642413 0.02721434
0.0550648 0.02586979
0.06193876 0.02542561
0.05680765 0.0235491
0.05953233 0.02341222
0.05259957 0.02262335
0.04413341 0.02107719
0.05447186 0.02050705
0.06519504 0.01963872
0.05007572 0.01861881
0.03968902 0.01871957
0.05407083 0.01916363
0.05942902 0.01873792
0.07087474 0.01823666
0.06422906 0.01733315
0.06212604 0.0171855
0.05524758 0.01795288
0.07234541 0.0199756
0.0627074 0.01869178
0.06823578 0.01836629
0.08527348 0.01569881
0.100675 0.01527631
0.06658935 0.01684181
0.05722015 0.01683169
0.0371008 0.01758422
0.03013023 0.01653365
0.04009934 0.01713763
0.03840787 0.01727477
0.02777977 0.01790173
0.03015243 0.01894136
0.0279986 0.02058019
0.04896168 0.01910708
0.0483582 0.01922882
0.06407573 0.01959825
0.05877078 0.01941788
0.09056775 0.01855626
0.08302781 0.01822989
0.03395656 0.0173337
0.03521301 0.01778817
0.04048865 0.0182369
0.05206453 0.0172805
0.05777329 0.01699695
0.03376333 0.01652561
0.05147002 0.01619499
0.05195946 0.0168232
0.04951523 0.01686646
0.03658219 0.01664804
0.05145897 0.015892
0.04076599 0.01523407
0.06077194 0.01591785
0.05909021 0.01505597
0.07687627 0.01527729
0.08922518 0.0150396
0.08163694 0.01647262
0.08397842 0.01578233
0.08630507 0.01517822
0.07694779 0.01625348
0.0629831 0.01694302
0.08318712 0.01789962
0.09156114 0.01727319
0.08277558 0.01630228
0.07971335 0.0160858
0.0877161 0.01588347
0.1046435 0.01562456
0.08612054 0.01584761
