marker_id	chr	pos_bp	pos_cM
m01_000001	chr01	2400	0.0024
m01_000002	chr01	21060	0.02106
m01_000003	chr01	71918	0.071918
m01_000004	chr01	89904	0.089904
m01_000005	chr01	113346	0.113346
m01_000006	chr01	125257	0.125257
m01_000007	chr01	132331	0.132331
m01_000008	chr01	145620	0.14562
m01_000009	chr01	160592	0.160592
m01_000010	chr01	183028	0.183028
m01_000011	chr01	188898	0.188898
m01_000012	chr01	195763	0.195763
m01_000013	chr01	200758	0.200758
m01_000014	chr01	220193	0.220193
m01_000015	chr01	239283	0.239283
m01_000016	chr01	244739	0.244739
m01_000017	chr01	280706	0.280706
m01_000018	chr01	281600	0.2816
m01_000019	chr01	288000	0.288
m01_000020	chr01	289233	0.289233
m01_000021	chr01	313107	0.313107
m01_000022	chr01	313534	0.313534
m01_000023	chr01	321599	0.321599
m01_000024	chr01	345465	0.345465
m01_000025	chr01	362449	0.362449
m01_000026	chr01	367728	0.367728
m01_000027	chr01	407667	0.407667
m01_000028	chr01	431183	0.431183
m01_000029	chr01	434812	0.434812
m01_000030	chr01	436384	0.436384
m01_000031	chr01	436441	0.436441
m01_000032	chr01	436467	0.436467
m01_000033	chr01	475895	0.475895
m01_000034	chr01	500084	0.500084
m01_000035	chr01	505104	0.505104
m01_000036	chr01	553593	0.553593
m01_000037	chr01	565538	0.565538
m01_000038	chr01	575286	0.575286
m01_000039	chr01	586798	0.586798
m01_000040	chr01	595759	0.595759
m01_000041	chr01	621317	0.621317
m01_000042	chr01	623855	0.623855
m01_000043	chr01	647275	0.647275
m01_000044	chr01	701541	0.701541
m01_000045	chr01	710263	0.710263
m01_000046	chr01	714816	0.714816
m01_000047	chr01	724050	0.72405
m01_000048	chr01	728874	0.728874
m01_000049	chr01	740599	0.740599
m01_000050	chr01	747875	0.747875
m01_000051	chr01	772615	0.772615
m01_000052	chr01	777906	0.777906
m01_000053	chr01	784006	0.784006
m01_000054	chr01	788457	0.788457
m01_000055	chr01	793457	0.793457
m01_000056	chr01	804340	0.80434
m01_000057	chr01	822290	0.82229
m01_000058	chr01	858907	0.858907
m01_000059	chr01	866929	0.866929
m01_000060	chr01	872166	0.872166
m01_000061	chr01	881323	0.881323
m01_000062	chr01	886687	0.886687
m01_000063	chr01	890535	0.890535
m01_000064	chr01	923002	0.923002
m01_000065	chr01	936147	0.936147
m01_000066	chr01	946852	0.946852
m01_000067	chr01	955003	0.955003
m01_000068	chr01	982457	0.982457
m01_000069	chr01	993084	0.993084
m01_000070	chr01	993838	0.993838
m01_000071	chr01	1003052	1.003052
m01_000072	chr01	1011438	1.011438
m01_000073	chr01	1026478	1.026478
m01_000074	chr01	1055438	1.055438
m01_000075	chr01	1068613	1.068613
m01_000076	chr01	1097626	1.097626
m01_000077	chr01	1102758	1.102758
m01_000078	chr01	1114447	1.114447
m01_000079	chr01	1120844	1.120844
m01_000080	chr01	1130669	1.130669
m01_000081	chr01	1147192	1.147192
m01_000082	chr01	1147761	1.147761
m01_000083	chr01	1152523	1.152523
m01_000084	chr01	1155039	1.155039
m01_000085	chr01	1175045	1.175045
m01_000086	chr01	1186253	1.186253
m01_000087	chr01	1188113	1.188113
m01_000088	chr01	1205713	1.205713
m01_000089	chr01	1220995	1.220995
m01_000090	chr01	1242746	1.242746
m01_000091	chr01	1248439	1.248439
m01_000092	chr01	1259289	1.259289
m01_000093	chr01	1260881	1.260881
m01_000094	chr01	1267985	1.267985
m01_000095	chr01	1334651	1.334651
m01_000096	chr01	1348715	1.348715
m01_000097	chr01	1349448	1.349448
m01_000098	chr01	1350803	1.350803
m01_000099	chr01	1351219	1.351219
m01_000100	chr01	1371655	1.371655
m01_000101	chr01	1371925	1.371925
m01_000102	chr01	1383781	1.383781
m01_000103	chr01	1387442	1.387442
m01_000104	chr01	1392193	1.392193
m01_000105	chr01	1401185	1.401185
m01_000106	chr01	1422570	1.42257
m01_000107	chr01	1427840	1.42784
m01_000108	chr01	1432528	1.432528
m01_000109	chr01	1437688	1.437688
m01_000110	chr01	1442851	1.442851
m01_000111	chr01	1466347	1.466347
m01_000112	chr01	1493718	1.493718
m01_000113	chr01	1504303	1.504303
m01_000114	chr01	1516165	1.516165
m01_000115	chr01	1530485	1.530485
m01_000116	chr01	1534034	1.534034
m01_000117	chr01	1540760	1.54076
m01_000118	chr01	1551306	1.551306
m01_000119	chr01	1566092	1.566092
m01_000120	chr01	1596840	1.59684
m01_000121	chr01	1612746	1.612746
m01_000122	chr01	1622296	1.622296
m01_000123	chr01	1625287	1.625287
m01_000124	chr01	1679399	1.679399
m01_000125	chr01	1683762	1.683762
m01_000126	chr01	1701140	1.70114
m01_000127	chr01	1704662	1.704662
m01_000128	chr01	1712689	1.712689
m01_000129	chr01	1722242	1.722242
m01_000130	chr01	1735245	1.735245
m01_000131	chr01	1772790	1.77279
m01_000132	chr01	1773102	1.773102
m01_000133	chr01	1789677	1.789677
m01_000134	chr01	1805077	1.805077
m01_000135	chr01	1808889	1.808889
m01_000136	chr01	1826804	1.826804
m01_000137	chr01	1830541	1.830541
m01_000138	chr01	1846862	1.846862
m01_000139	chr01	1874206	1.874206
m01_000140	chr01	1876578	1.876578
m01_000141	chr01	1903113	1.903113
m01_000142	chr01	1910182	1.910182
m01_000143	chr01	1917539	1.917539
m01_000144	chr01	1960802	1.960802
m01_000145	chr01	1990911	1.990911
m01_000146	chr01	2007022	2.007022
m01_000147	chr01	2007319	2.007319
m01_000148	chr01	2017744	2.017744
m01_000149	chr01	2082240	2.08224
m01_000150	chr01	2087952	2.087952
m01_000151	chr01	2097397	2.097397
m01_000152	chr01	2106540	2.10654
m01_000153	chr01	2108412	2.108412
m01_000154	chr01	2124046	2.124046
m01_000155	chr01	2126689	2.126689
m01_000156	chr01	2139877	2.139877
m01_000157	chr01	2149983	2.149983
m01_000158	chr01	2151074	2.151074
m01_000159	chr01	2153061	2.153061
m01_000160	chr01	2185459	2.185459
